1652 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,30 ,49 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,14 ,0 ,0 
0 ,157 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,4144 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,219 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,0 
0 ,1 ,0 ,2500 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,32 ,0 ,1 ,0 ,81 ,0 ,0 ,0 ,4 ,4 ,0 ,2 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,2359 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,161 ,0 ,0 ,7 ,0 ,0 ,0 ,4 ,5 ,0 ,34 
0 ,0 ,8 ,1 ,0 ,1123 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 
0 ,0 ,0 ,0 ,0 ,0 ,11532 ,0 ,0 ,0 ,3 ,2 ,23 ,0 ,6 ,0 ,180 ,0 ,1 ,0 ,18 ,0 ,0 ,0 ,3 ,0 ,0 
0 ,0 ,0 ,0 ,8 ,0 ,0 ,274 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
0 ,0 ,0 ,0 ,1 ,0 ,0 ,8 ,83 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,104 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,514 ,0 ,13 ,1 ,17 ,0 ,255 ,0 ,2 ,2 ,0 ,1 ,1 ,0 ,2 ,0 ,0 
6 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,0 ,0 ,0 ,3438 ,0 ,0 ,0 ,3 ,140 ,38 ,0 ,0 ,2 ,0 ,0 ,0 ,17 ,0 ,0 
1 ,0 ,9 ,24 ,0 ,0 ,13 ,0 ,0 ,0 ,22 ,0 ,12590 ,0 ,7 ,1 ,403 ,0 ,2 ,0 ,5 ,2 ,1 ,0 ,1 ,0 ,0 
1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,2790 ,0 ,0 ,13 ,0 ,1 ,12 ,0 ,0 ,0 ,10 ,1 ,11 ,0 
0 ,3 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,354 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
28 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,7 ,0 ,1570 ,65 ,5 ,0 ,0 ,1 ,5 ,0 ,12 ,1 ,0 ,0 
86 ,6 ,215 ,95 ,379 ,73 ,214 ,52 ,16 ,9 ,193 ,164 ,369 ,18 ,17 ,92 ,306370 ,108 ,200 ,53 ,43 ,50 ,14 ,75 ,76 ,22 ,148 
1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,32 ,0 ,0 ,0 ,3 ,77 ,2073 ,0 ,0 ,10 ,0 ,0 ,17 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,26 ,0 ,0 ,1 ,139 ,0 ,1640 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,5 ,0 ,0 ,65 ,0 ,31 ,9000 ,0 ,0 ,0 ,0 ,10 ,0 ,0 
0 ,2 ,0 ,10 ,0 ,0 ,30 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,39 ,1 ,0 ,0 ,4421 ,1 ,0 ,3 ,0 ,0 ,0 
0 ,7 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,4 ,0 ,1 ,0 ,0 ,2 ,75 ,0 ,0 ,0 ,1 ,129 ,0 ,1 ,0 ,1 ,0 
0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,154 ,0 ,0 ,0 ,0 
0 ,0 ,1 ,0 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,12 ,44 ,9 ,0 ,0 ,15 ,6 ,0 ,3926 ,32 ,1 ,0 
10 ,0 ,14 ,0 ,9 ,0 ,13 ,0 ,0 ,0 ,9 ,9 ,0 ,1 ,0 ,0 ,49 ,0 ,1 ,15 ,0 ,0 ,0 ,13 ,4837 ,1 ,0 
0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,15 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,404 ,0 
0 ,0 ,0 ,0 ,57 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,751 
